timestamp(ms),latitude(deg),longitude(deg),speed(m/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),pressure(hPa),linear_accel_x(m/s^2),linear_accel_y(m/s^2),linear_accel_z(m/s^2),altitude(m),wifi_enabled,bluetooth_enabled,silent_mode,mobile_data_enabled
1733972404148,36.016162,129.324678,0.000000,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733972404172,36.016162,129.324678,0.000000,9.539856,0.671363,2.170397,1017.842041,0.271882,-0.144639,0.106489,-38.159721,true,true,true,false
1733972404186,36.016162,129.324678,0.000000,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733972404202,36.016162,129.324678,0.000000,9.539856,0.671363,2.170397,1017.842041,0.271882,-0.144639,0.106489,-38.159721,true,true,true,false
1733972409216,36.016162,129.324678,0.000000,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733972409236,36.016162,129.324678,0.000000,9.583200,0.766563,1.935129,1017.817383,0.017848,0.016341,0.001781,-37.958908,true,true,true,false
1733972409251,36.016162,129.324678,0.000000,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733972409267,36.016162,129.324678,0.000000,9.584073,0.765597,1.931185,1017.808105,0.007399,-0.009030,0.008118,-37.879639,true,true,true,false
1733972414189,36.016162,129.324678,0.000000,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733972414228,36.016162,129.324678,0.000000,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733972414248,36.016162,129.324678,0.000000,9.580557,0.765436,1.948609,1017.794434,0.013309,0.005497,-0.002123,-37.768661,true,true,true,false
1733972414266,36.016162,129.324678,0.000000,9.580557,0.765436,1.948609,1017.794434,0.013309,0.005497,-0.002123,-37.768661,true,true,true,false
1733972419227,36.011858,129.322408,0.000000,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733972419256,36.011858,129.322408,0.000000,9.580584,0.763409,1.949281,1017.797607,0.027647,0.000341,0.001993,-37.789803,true,true,true,false
1733972419269,36.011858,129.322408,0.000000,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733972419285,36.011858,129.322408,0.000000,9.580584,0.763409,1.949281,1017.803955,0.027647,0.000341,0.001993,-37.842648,true,true,true,false
1733972424231,36.011858,129.322408,0.000000,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733972424249,36.011858,129.322408,0.000000,9.577889,0.767884,1.960777,1017.791504,0.013582,0.010232,-0.011897,-34.814350,true,true,true,false
1733972424270,36.011858,129.322408,0.000000,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733972424285,36.011858,129.322408,0.000000,9.577889,0.767884,1.960777,1017.813721,0.013582,0.010232,-0.011897,-37.927200,true,true,true,false
1733972429258,36.011858,129.322408,0.000000,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733972429287,36.011858,129.322408,0.000000,9.548536,0.729594,2.112640,1017.749756,0.009417,-0.013727,0.003834,-37.393459,true,true,true,false
1733972429309,36.011858,129.322408,0.000000,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733972429324,36.011858,129.322408,0.000000,9.548536,0.729594,2.112640,1017.749756,0.009417,-0.013727,0.003834,-37.393459,true,true,true,false
1733972434272,36.011858,129.322408,0.000000,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733972434304,36.011858,129.322408,0.000000,9.552063,0.775118,2.080246,1017.759766,0.027437,0.002998,0.009892,-34.558504,true,true,true,false
1733972434319,36.011858,129.322408,0.000000,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
