timestamp(ms),latitude(deg),longitude(deg),speed(m/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),pressure(hPa),linear_accel_x(m/s^2),linear_accel_y(m/s^2),linear_accel_z(m/s^2),altitude(m),wifi_enabled,bluetooth_enabled,silent_mode,mobile_data_enabled
1733968324861,36.012525,129.321435,0.000000,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968324884,36.012525,129.321435,0.000000,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968326201,36.011352,129.320500,0.000000,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968326210,36.011352,129.320500,0.000000,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968328746,36.011995,129.321548,1.086465,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,false,true,false,false
1733968328755,36.011995,129.321548,1.086465,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,false,true,false,false
1733968329029,36.011966,129.321610,1.522949,8.800093,2.117191,3.774406,1019.832031,-8.302099,0.063927,3.892127,-54.466194,false,true,false,false
1733968329043,36.011978,129.321585,1.343700,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968329049,36.011978,129.321585,1.343700,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968330031,36.011980,129.321623,1.209522,8.685390,1.002380,4.441775,1019.828613,-7.754045,4.638658,4.859998,-54.626369,false,true,false,false
1733968330036,36.011980,129.321623,1.209522,8.685390,1.002380,4.441775,1019.828613,-7.754045,4.638658,4.859998,-54.626369,false,true,false,false
1733968331063,36.011984,129.321639,0.829347,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968331076,36.011984,129.321639,0.829347,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968332022,36.011990,129.321650,0.809560,7.478960,0.386436,6.331364,1019.848145,-8.199615,3.432315,3.492345,-54.790192,false,true,false,false
1733968332034,36.011990,129.321650,0.809560,7.478960,0.386436,6.331364,1019.848145,-8.199615,3.432315,3.492345,-54.790192,false,true,false,false
1733968333041,36.012000,129.321671,0.838166,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968333050,36.012000,129.321671,0.838166,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968334104,36.012009,129.321695,0.000000,6.935073,3.156039,6.173693,1019.850098,-6.461021,0.887768,1.727472,-54.806046,false,true,false,false
1733968334117,36.012006,129.321686,0.880083,6.935073,3.156039,6.173693,1019.850098,-6.461021,0.887768,1.727472,-54.806046,false,true,false,false
1733968334129,36.012006,129.321686,0.880083,6.935073,3.156039,6.173693,1019.850098,-6.461021,0.887768,1.727472,-54.806046,false,true,false,false
1733968334944,36.012007,129.321694,0.993289,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968334955,36.012007,129.321694,0.993289,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968336119,36.012004,129.321700,0.982726,5.943538,1.018558,7.733510,1019.811768,-4.468709,0.331772,3.967253,-54.488972,false,true,false,false
1733968336135,36.012004,129.321700,0.982726,5.943538,1.018558,7.733510,1019.811768,-4.468709,0.331772,3.967253,-54.488972,false,true,false,false
1733968337123,36.011997,129.321710,0.942018,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968337140,36.011997,129.321710,0.942018,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968338130,36.011990,129.321721,1.074587,6.103909,1.371982,7.551842,1019.817139,-2.785545,2.398886,0.694088,-54.531250,false,true,false,false
1733968338147,36.011990,129.321721,1.074587,6.103909,1.371982,7.551842,1019.817139,-2.785545,2.398886,0.694088,-54.531250,false,true,false,false
1733968338924,36.011980,129.321732,1.139696,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968338935,36.011980,129.321732,1.139696,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968339086,36.011964,129.321749,0.000000,6.091328,1.781073,7.476217,1019.879150,-3.299689,0.871702,-0.108959,-49.946007,false,true,false,false
1733968340032,36.011968,129.321745,1.140685,5.655700,1.128342,7.931597,1019.866699,-5.983706,-0.103624,2.241665,-49.725694,false,true,false,false
1733968340042,36.011968,129.321745,1.140685,5.655700,1.128342,7.931597,1019.866699,-5.983706,-0.103624,2.241665,-49.725694,false,true,false,false
1733968341124,36.011956,129.321757,1.108860,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968341146,36.011956,129.321757,1.108860,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968342120,36.011951,129.321772,1.021111,0.480480,-1.180859,9.723431,1019.823730,-0.468509,4.520770,0.119431,-54.584095,false,true,false,false
1733968342139,36.011951,129.321772,1.021111,0.260213,-0.697609,9.778345,1019.823730,-2.426965,1.310525,2.650255,-49.043474,false,true,false,false
1733968343133,36.011954,129.321786,0.939049,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968343152,36.011954,129.321786,0.939049,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968343961,36.011959,129.321797,0.902155,1.434689,0.254592,9.697795,1019.840576,0.210128,1.399802,-2.122241,-48.997236,false,true,false,false
