timestamp(ms),latitude(deg),longitude(deg),speed(m/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),linear_accel_x(m/s^2),linear_accel_y(m/s^2),linear_accel_z(m/s^2),altitude(m),wifi_enabled,bluetooth_enabled,silent_mode,mobile_data_enabled
1734174001868,37.482493,126.941567,0.417393,-1.113710,2.963141,9.281693,0.220672,1.336845,-0.456366,39.700001,false,true,false,false
1734174001899,37.482493,126.941567,0.417393,-0.703405,3.506698,9.131190,0.492716,0.738222,0.785892,39.700001,false,true,false,false
1734174002440,37.482487,126.941679,0.000000,-1.020277,4.714829,8.538137,-0.447369,0.334841,-1.307349,39.799999,false,true,false,false
1734174002471,37.482497,126.941567,0.418273,-1.020277,4.714829,8.538137,-0.447369,0.334841,-1.307349,39.799999,false,true,false,false
1734174002505,37.482497,126.941567,0.418273,-1.020277,4.714829,8.538137,-0.447369,0.334841,-1.307349,39.799999,false,true,false,false
1734174003687,37.482505,126.941575,0.487840,0.843743,3.100270,9.265355,-0.096752,-0.682126,-0.657901,39.799999,false,true,false,false
1734174003722,37.482505,126.941575,0.487840,0.843743,3.100270,9.265355,-0.096752,-0.682126,-0.657901,39.799999,false,true,false,false
1734174004284,37.482508,126.941577,0.496284,-0.505751,2.631215,9.433520,-0.382498,-1.733389,1.659116,39.799999,false,true,false,false
1734174004311,37.482508,126.941577,0.496284,-0.505751,2.631215,9.433520,-0.382498,-1.733389,1.659116,39.799999,false,true,false,false
1734174004843,37.482511,126.941575,0.566630,-0.273900,3.126615,9.290835,-0.279160,1.044085,-0.056100,39.799999,false,true,false,false
1734174004868,37.482511,126.941575,0.566630,-0.273900,3.126615,9.290835,-0.279160,1.044085,-0.056100,39.799999,false,true,false,false
1734174005946,37.482515,126.941568,0.622951,0.773844,4.082189,8.882976,-1.439432,-1.393500,-0.725631,39.799999,false,true,false,false
1734174005978,37.482515,126.941568,0.622951,0.773844,4.082189,8.882976,-1.439432,-1.393500,-0.725631,39.799999,false,true,false,false
1734174007466,37.482486,126.941670,0.000000,1.842746,3.195783,9.086343,-0.789297,-1.364219,1.134804,39.899998,false,true,false,false
1734174007499,37.482518,126.941558,0.611359,1.620209,3.620403,8.968722,-0.722384,-0.732995,-1.141778,39.899998,false,true,false,false
1734174007545,37.482518,126.941558,0.611359,1.620209,3.620403,8.968722,-0.722384,-0.732995,-1.141778,39.899998,false,true,false,false
1734174007882,37.482517,126.941566,0.596965,2.264279,2.984493,9.062903,0.675800,0.501465,0.392098,39.899998,false,true,false,false
1734174007909,37.482517,126.941566,0.596965,2.264279,2.984493,9.062903,0.675800,0.501465,0.392098,39.899998,false,true,false,false
1734174011667,37.482522,126.941551,0.571562,-1.379432,3.289045,9.135082,-0.437768,0.955875,-0.570724,39.899998,false,true,false,false
1734174011697,37.482522,126.941551,0.571562,-1.379432,3.289045,9.135082,-0.437768,0.955875,-0.570724,39.899998,false,true,false,false
1734174012458,37.482471,126.941716,0.000000,-0.099448,4.102091,8.906925,-1.305949,0.118886,-0.457488,39.899998,false,true,false,false
1734174012491,37.482523,126.941549,0.568094,-0.099448,4.102091,8.906925,-1.305949,0.118886,-0.457488,39.899998,false,true,false,false
1734174012535,37.482523,126.941549,0.568094,-0.220856,4.091905,8.909429,-0.576413,0.102737,0.806541,39.899998,false,true,false,false
1734174017488,37.482542,126.941506,0.000000,-0.511882,3.221758,9.248169,0.447239,-1.069370,0.372033,39.700001,false,true,false,false
1734174017524,37.482525,126.941535,0.716019,-0.511882,3.221758,9.248169,0.447239,-1.069370,0.372033,39.700001,false,true,false,false
1734174017566,37.482525,126.941535,0.716019,-0.622115,3.342728,9.198343,1.349953,-0.412225,-0.978749,39.700001,false,true,false,false
1734174019569,37.482518,126.941529,0.670272,-1.603568,2.012886,9.462941,-0.821759,0.524968,1.332813,39.700001,false,true,false,false
1734174019602,37.482518,126.941529,0.670272,-1.603568,2.012886,9.462941,-0.821759,0.524968,1.332813,39.700001,false,true,false,false
1734174020233,37.482515,126.941536,0.664129,-1.715039,1.851472,9.476343,-0.384676,1.055089,-0.212877,39.700001,false,true,false,false
1734174020272,37.482515,126.941536,0.664129,-1.626186,2.236544,9.408707,0.120233,0.605374,1.516335,39.700001,false,true,false,false
1734174021760,37.482513,126.941549,0.631488,0.023953,2.759465,9.410375,1.572980,0.927605,0.820349,39.700001,false,true,false,false
1734174021794,37.482513,126.941549,0.631488,0.023953,2.759465,9.410375,1.572980,0.927605,0.820349,39.700001,false,true,false,false
1734174022560,37.482463,126.941646,0.000000,-0.228955,3.021259,9.326839,0.738920,0.507794,1.531164,39.899998,false,true,false,false
1734174022587,37.482514,126.941554,0.617843,-0.079112,3.589981,9.125577,-1.103624,-1.349008,-1.808597,39.899998,false,true,false,false
1734174022608,37.482514,126.941554,0.617843,-0.079112,3.589981,9.125577,-1.103624,-1.349008,-1.808597,39.899998,false,true,false,false
1734174023559,37.482505,126.941580,0.612392,4.807029,6.008210,6.079819,0.496427,-1.217412,-0.208937,39.899998,false,true,false,false
1734174023591,37.482505,126.941580,0.612392,4.807029,6.008210,6.079819,0.496427,-1.217412,-0.208937,39.899998,false,true,false,false
